"Nome";"Entidade";"Status";"Fabricante";"Número de série";"Tipo";"Modelo";"Sistema operacional - Nome";"Sistema operacional - Versão";"Sistema operacional - Edição";"Sistema operacional - Número de série";"Localização";"Componentes - Processador";"Domínio";"Volumes - Tamanho total";"Volumes - Espaço livre";"Informações financeiras e administrativas - Informações da Garantia";"Informações financeiras e administrativas - Prazo de validade da garantia";"Informações financeiras e administrativas - Data de inicio da garantia";"Informações financeiras e administrativas - Data de término da garantia";"Conectividade - IP";"Componentes - Interface de rede";
"GDC-ZBPXY201807 (22)";"GDC Tecnologia";"Utilizado";"Raspibarry";"";"";"PI3";"";"";"";"";"";"";"";"";"";"";"0 mês";"";"";"";"";
"RASPBERRY03 (23)";"GDC Tecnologia";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0 mês";"";"";"";"";
